RSRP_S,RSRP_t,Tr,S,T
-72.783,-83.363,113,2,1
-75.365,-73.911,95,1,28
-74.152,-78.658,24,28,1
-81.772,-80.267,56,1,28
-67.475,-82.405,78,28,1
-83.64,-85.537,48,1,6
-76.104,-83.851,174,6,16
-75.361,-81.324,323,16,48
-78.034,-80.051,58,48,15
-65.942,-74.157,135,15,22
-73.169,-75.536,22,22,5
-74.104,-78.619,54,5,33
-77.931,-82.03,28,33,4
-81.863,-82.119,32,4,23
-66.901,-66.979,26,23,12
-81.793,-83.888,995,12,11
-75.593,-74.359,91,11,41
-68.849,-77.693,49,41,32
-77.392,-78.815,32,32,3
-69.379,-83.248,152,3,2
-74.81,-85.367,176,2,19
-76.671,-80.4,128,19,7
-65.747,-67.057,38,7,31
-76.971,-77.45,12,31,37
-73.43,-73.294,29,37,6
-68.882,-78.123,74,6,36
-66.186,-74.693,38,36,15
-73.401,-75.88,189,15,22
-65.074,-74.83,39,22,5
-68.343,-83.459,120,5,13
-75.338,-78.288,89,13,29
-77.363,-78.55,21,29,13
-65.467,-75.15,147,13,33
-76.384,-84.073,71,33,4
-80.853,-83.683,150,4,1
-74.883,-76.382,118,1,27
-65.247,-62.558,15,27,2
-78.393,-82.904,32,2,9
-82.909,-82.933,8,9,25
-79.487,-79.605,10,25,8
-81.864,-84.031,33,8,9
-83.122,-83.432,17,9,2
-77.573,-78.138,42,2,27
-69.926,-77.109,27,27,1
-73.549,-73.552,42,1,28
-71.055,-77.13,24,28,20
-79.092,-79.46,8,20,5
-66.609,-70.023,91,5,20
-68.918,-72.473,21,20,28
-73.563,-73.202,16,28,1
-67.561,-82.231,68,1,2
-72.009,-82.567,82,2,8
-72.07,-71.674,498,8,24
-69.866,-69.866,11,24,8
-83.286,-80.279,4,8,19
-81.775,-82.866,22,19,7
-81.419,-84.263,4,7,42
-74.358,-78.49,5,42,7
-60.245,-71.123,362,7,31
-76.76,-83.738,35,31,6
-80.782,-83.116,80,6,5
-75.941,-79.552,131,5,28
-81.322,-81.514,9,28,1
-81.659,-82.137,17,1,3
-74.43,-75.997,30,3,49
-75.838,-75.428,24,49,3
-74.344,-83.775,51,3,4
-81.571,-82.506,36,4,5
-77.423,-81.905,45,5,14
-69.541,-82.574,126,14,5
-77.414,-82.786,63,5,4
-82.12,-84.801,47,4,3
-73.624,-77.877,64,3,49
-76.247,-76.367,17,49,9
-72.134,-80.187,113,9,49
-78.685,-80.677,27,49,3
-77.626,-80.478,66,3,32
-78.224,-82.21,35,32,4
-80.064,-80.728,53,4,23
-74.711,-79.822,37,23,12
-82.39,-84.003,29,12,4
-70.389,-83.904,109,4,1
-79.337,-80.104,59,1,27
-79.237,-80.179,19,27,2
-76.353,-82.604,83,2,19
-71.608,-81.437,114,19,7
-75.51,-76.689,34,7,45
-73.992,-74.46,15,45,6
-79.505,-82.018,32,6,16
-81.541,-81.541,11,16,36
-77.03,-78.14,26,36,6
-70.716,-82.643,86,6,1
-71.312,-83.647,262,1,4
-69.398,-81.237,267,4,23
-71.052,-73.302,79,23,12
-66.25,-85.695,291,12,11
-83.165,-83.724,59,11,32
-67.029,-76.585,63,32,3
-82.066,-82.405,1114,3,1
-81.061,-83.41,32,1,4
-83.19,-83.138,10,4,5
-79.588,-83.559,41,5,14
-74.414,-76.731,349,14,13
-76.86,-76.744,16,13,4
-79.081,-78.934,13,4,11
-77.243,-82.002,81,11,32
-74.665,-80.703,35,32,3
-84.05,-84.988,20,3,4
-83.838,-83.838,11,4,1
-77.321,-83.163,72,1,6
-68.038,-66.371,70,6,37
-68.542,-69.845,9,37,31
-61.777,-64.893,9,31,7
-67.056,-83.511,203,7,35
-78.326,-79.869,35,35,19
-79.019,-83.318,60,19,2
-81.708,-81.657,18,2,44
-71.668,-78.998,32,44,25
-82.398,-82.284,10,25,9
-77.975,-76.549,31,9,38
-77.867,-80.512,19,38,9
-80.724,-79.941,20,9,38
-74.742,-77.531,30,38,9
-80.2,-82.307,35,9,25
-78.524,-78.446,23,25,44
-76.635,-83.937,45,44,2
-84.077,-84.467,25,2,19
-74.959,-78.11,86,19,35
-65.006,-73.749,37,35,18
-71.924,-82.148,98,18,43
-66.471,-76.794,60,43,7
-79.01,-81.672,58,7,37
-64.279,-71.663,52,37,6
-76.014,-83.175,99,6,5
-75.853,-79.12,195,5,22
-68.898,-79.85,206,22,5
-77.891,-84.405,566,5,13
-73.354,-83.925,396,13,12
-75.471,-71.819,69,12,23
-65.304,-81.02,71,23,4
-74.475,-83.964,196,4,28
-72.768,-79.122,83,28,1
-80.181,-83.667,98,1,6
-79.773,-78.975,39,6,37
-68.903,-82.092,82,37,45
-66.75,-77.048,82,45,17
